trade_id,date,symbol,direction,timeframe,setup,risk_usd,planned_rr,net_pnl,fees,result
127,2025-01-22,SOL,short,4h,range rejection,47.61,2.64,120.59,5.26,win
128,2025-03-21,SOL,long,4h,liquidity sweep,63.8,0.22,10.56,3.39,win
129,2025-01-30,XRP,long,15m,trend pullback,166.88,1.81,301.19,1.6,win
130,2025-01-03,BTC,long,5m,VWAP reclaim,54.8,1.63,87.86,1.57,win
131,2025-03-21,ADA,long,5m,trend pullback,28.53,1.03,-30.78,2.25,loss
132,2025-02-27,FARTCOIN,short,15m,VWAP reclaim,153.64,0.52,77.4,2.39,win
133,2025-01-24,XRP,short,4h,range rejection,98.38,2.07,-101.82,3.44,loss
134,2025-05-30,SOL,long,1h,VWAP reclaim,81.71,2.25,-84.18,2.47,loss
135,2025-03-29,WLFI,long,15m,liquidity sweep,131.94,1.64,209.72,6.81,win
136,2025-02-25,ADA,short,5m,range rejection,94.83,1.86,174.47,1.81,win
137,2025-05-31,SOL,short,3m,VWAP reclaim,71.68,1.68,-77.29,5.61,loss
138,2025-01-03,ETH,short,3m,breakout retest,45.4,0.92,38.27,3.36,win
139,2025-02-11,FARTCOIN,short,4h,range rejection,94.69,1.45,135.96,1.15,win
140,2025-05-02,DOGE,short,15m,range rejection,153.46,1.04,155.26,3.61,win
141,2025-01-11,DOGE,short,4h,liquidity sweep,175.32,2.19,-181.66,6.34,loss
142,2025-03-10,DOGE,short,4h,breakout retest,172.64,1.81,311.65,1.2,win
143,2025-05-26,WLFI,long,3m,liquidity sweep,140.3,2.74,380.87,3.33,win
144,2025-03-30,WLFI,long,5m,breakout retest,93.39,2.4,222.81,1.01,win
145,2025-03-20,SOL,short,3m,breakout retest,32.86,1.22,37.78,2.42,win
146,2025-01-02,SOL,short,1h,breakout retest,96.38,1.14,105.55,4.3,win
147,2025-04-29,XRP,short,5m,VWAP reclaim,133.0,0.2,-134.67,1.67,loss
148,2025-03-25,SOL,short,1h,trend pullback,163.68,0.55,-169.8,6.11,loss
149,2025-03-30,DOGE,long,5m,trend pullback,98.13,1.93,-103.23,5.11,loss
150,2025-04-05,SOL,long,4h,range rejection,77.96,1.13,87.14,1.01,win
151,2025-02-05,ETH,long,3m,VWAP reclaim,99.99,0.56,52.78,3.11,win
152,2025-04-19,DOGE,long,1h,liquidity sweep,44.12,1.25,49.53,5.73,win
153,2025-02-15,WLFI,short,1h,liquidity sweep,46.17,0.62,-53.01,6.84,loss
154,2025-04-14,FARTCOIN,long,4h,trend pullback,148.57,1.39,203.08,3.23,win
155,2025-01-03,DOGE,short,3m,VWAP reclaim,97.78,0.21,-101.59,3.81,loss
156,2025-01-30,DOGE,short,15m,range rejection,116.58,0.76,-120.73,4.15,loss
157,2025-01-29,FARTCOIN,short,1h,liquidity sweep,145.68,2.3,-150.4,4.72,loss
158,2025-03-28,SOL,long,4h,trend pullback,171.71,2.25,-174.52,2.8,loss
159,2025-01-13,XRP,short,1h,VWAP reclaim,94.36,1.77,159.78,7.08,win
160,2025-03-06,BTC,short,3m,trend pullback,88.11,1.29,-94.48,6.37,loss
161,2025-03-17,WLFI,long,3m,trend pullback,77.1,0.2,12.15,3.27,win
162,2025-01-10,ETH,short,4h,liquidity sweep,105.0,0.3,29.04,2.23,win
163,2025-05-07,SOL,long,4h,breakout retest,88.98,1.9,161.19,7.8,win
164,2025-01-20,XRP,long,3m,range rejection,72.25,1.84,127.62,5.27,win
165,2025-03-19,ETH,short,15m,liquidity sweep,87.6,2.2,184.88,7.65,win
166,2025-02-19,DOGE,long,4h,breakout retest,111.34,0.5,-116.65,5.31,loss
167,2025-05-27,BTC,short,5m,VWAP reclaim,95.67,1.15,-99.73,4.06,loss
168,2025-02-16,BTC,short,3m,range rejection,128.51,1.48,185.74,3.85,win
169,2025-03-10,SOL,short,3m,breakout retest,93.99,0.97,-99.43,5.44,loss
170,2025-03-25,ADA,long,4h,range rejection,55.37,2.14,-61.47,6.1,loss
171,2025-05-19,DOGE,short,15m,VWAP reclaim,82.25,0.8,-83.33,1.09,loss
172,2025-02-08,FARTCOIN,short,5m,range rejection,93.91,1.7,-96.39,2.47,loss
173,2025-01-09,WLFI,short,1h,trend pullback,125.71,1.99,-127.26,1.55,loss
174,2025-02-23,FARTCOIN,long,15m,range rejection,139.68,1.42,-142.81,3.13,loss
175,2025-02-09,XRP,long,1h,range rejection,119.98,0.99,115.39,3.46,win
176,2025-05-23,BTC,short,4h,breakout retest,139.05,1.33,-142.68,3.63,loss
177,2025-01-25,DOGE,long,15m,breakout retest,83.32,2.35,193.91,1.77,win
178,2025-05-21,SOL,short,4h,VWAP reclaim,85.36,1.67,-89.29,3.93,loss
179,2025-01-28,FARTCOIN,short,15m,trend pullback,126.28,0.61,-131.71,5.43,loss
180,2025-04-14,DOGE,long,1h,breakout retest,99.17,0.48,40.55,6.78,win
181,2025-03-15,SOL,short,5m,liquidity sweep,20.53,2.23,-26.87,6.34,loss
182,2025-04-18,DOGE,short,5m,trend pullback,85.65,1.87,-90.98,5.33,loss
183,2025-01-06,ETH,short,1h,liquidity sweep,72.0,0.72,47.13,4.99,win
184,2025-06-03,FARTCOIN,long,5m,breakout retest,161.36,1.29,-166.23,4.86,loss
185,2025-03-03,XRP,short,15m,breakout retest,48.03,1.03,-55.48,7.45,loss
186,2025-01-08,WLFI,long,4h,range rejection,53.12,2.65,138.05,2.72,win
187,2025-04-29,ADA,long,15m,breakout retest,100.03,1.23,117.61,5.23,win
188,2025-01-18,ADA,short,4h,range rejection,21.1,1.69,29.84,5.74,win
189,2025-04-17,DOGE,long,4h,trend pullback,173.21,2.86,-177.97,4.76,loss
190,2025-05-04,BTC,short,3m,VWAP reclaim,152.44,1.14,167.41,6.68,win
191,2025-04-20,DOGE,short,4h,liquidity sweep,145.99,0.77,105.23,6.93,win
192,2025-04-16,SOL,short,1h,breakout retest,125.05,0.81,98.67,2.7,win
193,2025-03-26,WLFI,long,1h,breakout retest,122.73,0.76,86.25,7.29,win
194,2025-03-17,WLFI,short,15m,trend pullback,130.27,1.86,237.57,4.15,win
195,2025-02-05,WLFI,long,15m,trend pullback,43.68,1.12,46.57,2.55,win
196,2025-03-20,FARTCOIN,short,1h,range rejection,171.17,0.96,159.65,5.44,win
197,2025-02-02,WLFI,long,5m,liquidity sweep,43.44,1.61,66.31,3.69,win
198,2025-02-07,ADA,short,4h,range rejection,113.48,1.59,173.94,6.05,win
199,2025-03-30,XRP,long,4h,VWAP reclaim,123.02,2.36,-127.52,4.51,loss
200,2025-02-13,DOGE,short,1h,liquidity sweep,159.33,1.35,210.03,4.39,win
201,2025-02-27,ETH,short,3m,breakout retest,69.49,1.17,78.02,2.95,win
202,2025-04-28,FARTCOIN,short,4h,breakout retest,111.11,2.06,-112.19,1.09,loss
203,2025-01-09,ADA,short,3m,VWAP reclaim,83.76,3.63,300.6,3.31,win
204,2025-04-25,ETH,long,5m,breakout retest,110.67,1.54,168.11,2.79,win
205,2025-02-15,ADA,short,3m,breakout retest,26.44,1.22,-31.3,4.86,loss
206,2025-05-14,ETH,long,4h,range rejection,68.44,2.61,176.14,2.71,win
207,2025-05-18,XRP,long,3m,breakout retest,161.06,0.76,115.51,6.53,win
208,2025-04-24,XRP,long,5m,trend pullback,33.34,1.41,42.25,4.8,win
209,2025-05-26,XRP,short,1h,breakout retest,21.54,0.69,7.55,7.33,win
210,2025-03-06,XRP,long,5m,VWAP reclaim,140.73,1.37,-145.18,4.45,loss
211,2025-03-18,XRP,short,4h,trend pullback,62.27,2.02,-65.66,3.39,loss
212,2025-01-29,WLFI,short,15m,trend pullback,176.36,0.5,-180.77,4.41,loss
213,2025-02-11,XRP,short,3m,range rejection,48.61,2.56,-54.32,5.71,loss
214,2025-02-19,FARTCOIN,long,4h,VWAP reclaim,144.61,1.42,-147.1,2.49,loss
215,2025-01-27,FARTCOIN,short,5m,VWAP reclaim,129.56,0.67,-132.03,2.47,loss
216,2025-04-12,SOL,long,5m,VWAP reclaim,145.73,1.2,-151.0,5.27,loss
217,2025-03-10,XRP,short,15m,VWAP reclaim,56.6,0.97,47.54,7.54,win
218,2025-03-27,SOL,short,15m,range rejection,136.27,1.15,-139.48,3.21,loss
219,2025-01-02,DOGE,short,15m,breakout retest,141.96,0.2,20.61,7.78,win
220,2025-01-05,XRP,short,15m,VWAP reclaim,150.97,0.2,24.56,5.63,win
221,2025-03-24,FARTCOIN,long,5m,breakout retest,88.4,0.67,53.93,4.91,win
222,2025-01-28,XRP,short,4h,range rejection,31.91,1.07,28.23,6.06,win
223,2025-05-05,BTC,short,3m,liquidity sweep,59.98,2.86,-65.08,5.1,loss
224,2025-03-12,BTC,short,1h,breakout retest,106.06,1.2,124.05,2.99,win
225,2025-04-16,ETH,short,4h,breakout retest,151.89,1.18,-157.02,5.13,loss
226,2025-03-04,ETH,short,4h,trend pullback,72.45,0.48,-78.08,5.62,loss
227,2025-02-05,WLFI,long,15m,VWAP reclaim,143.54,1.57,219.19,6.5,win
228,2025-02-17,XRP,long,5m,VWAP reclaim,71.4,0.81,54.5,3.54,win
229,2025-02-05,WLFI,long,1h,liquidity sweep,39.07,2.49,93.42,3.77,win
230,2025-01-05,BTC,short,15m,trend pullback,110.51,1.15,-118.23,7.72,loss
231,2025-05-28,XRP,short,3m,trend pullback,73.4,1.14,82.32,1.53,win
232,2025-05-12,ETH,long,4h,breakout retest,155.41,1.78,269.69,7.46,win
233,2025-03-12,ETH,short,5m,VWAP reclaim,94.51,1.35,-102.47,7.96,loss
234,2025-05-28,ETH,long,1h,liquidity sweep,74.37,0.2,-80.22,5.85,loss
235,2025-01-02,DOGE,short,15m,range rejection,119.79,1.37,163.09,1.06,win
236,2025-02-27,SOL,short,5m,trend pullback,113.5,1.79,-118.23,4.73,loss
237,2025-02-18,FARTCOIN,long,3m,trend pullback,143.68,1.37,194.62,2.27,win
238,2025-05-19,BTC,long,5m,breakout retest,75.76,1.71,122.78,7.09,win
239,2025-02-11,ADA,short,5m,VWAP reclaim,87.89,2.08,175.03,7.55,win
240,2025-04-23,BTC,long,5m,range rejection,39.7,1.53,-40.88,1.18,loss
241,2025-04-23,BTC,short,3m,liquidity sweep,83.87,2.66,219.16,3.66,win
242,2025-02-11,SOL,long,4h,VWAP reclaim,141.06,2.11,293.24,4.42,win
243,2025-02-18,FARTCOIN,short,1h,VWAP reclaim,53.65,0.65,30.06,4.55,win
244,2025-01-05,ETH,short,3m,VWAP reclaim,21.16,1.94,-24.96,3.8,loss
245,2025-01-17,FARTCOIN,short,3m,range rejection,89.46,1.25,-92.57,3.1,loss
246,2025-03-12,XRP,long,5m,breakout retest,136.74,0.89,-138.06,1.32,loss
247,2025-05-13,BTC,long,3m,trend pullback,44.92,2.07,-51.26,6.34,loss
248,2025-04-06,ADA,short,5m,trend pullback,118.81,1.31,-122.74,3.93,loss
249,2025-04-04,SOL,long,1h,breakout retest,160.65,0.91,144.76,2.14,win
250,2025-06-10,WLFI,short,3m,liquidity sweep,79.71,1.68,-85.06,5.35,loss
251,2025-05-01,FARTCOIN,long,3m,trend pullback,25.48,2.4,-32.87,7.4,loss
252,2025-02-10,DOGE,long,1h,liquidity sweep,36.02,0.77,25.07,2.56,win
253,2025-04-29,ETH,short,5m,trend pullback,177.34,3.0,-182.1,4.76,loss
254,2025-05-02,BTC,short,4h,VWAP reclaim,95.12,0.86,-97.02,1.9,loss
255,2025-05-07,ETH,short,5m,trend pullback,139.8,1.21,-142.17,2.37,loss
256,2025-02-27,SOL,long,15m,trend pullback,125.47,1.91,-131.49,6.02,loss
257,2025-02-27,ETH,long,1h,trend pullback,60.11,1.0,-63.22,3.11,loss
258,2025-03-25,WLFI,long,3m,range rejection,87.52,2.36,-92.58,5.06,loss
259,2025-02-16,BTC,long,5m,breakout retest,22.29,0.97,-29.14,6.85,loss
260,2025-01-03,DOGE,short,4h,range rejection,111.53,1.54,168.59,3.41,win
261,2025-04-27,XRP,long,15m,trend pullback,119.41,2.0,-121.23,1.82,loss
262,2025-02-17,FARTCOIN,short,4h,range rejection,60.85,1.45,-65.26,4.41,loss
263,2025-05-13,ETH,short,3m,trend pullback,62.06,1.29,-66.04,3.99,loss
264,2025-02-28,SOL,long,15m,breakout retest,176.01,0.72,-177.86,1.84,loss
265,2025-04-26,FARTCOIN,short,4h,breakout retest,89.79,0.9,-91.37,1.58,loss
266,2025-02-06,DOGE,long,15m,trend pullback,154.4,0.2,29.76,1.12,win
267,2025-05-17,SOL,long,4h,breakout retest,78.02,0.2,7.97,7.63,win
268,2025-01-26,FARTCOIN,long,5m,breakout retest,128.86,2.59,-135.88,7.01,loss
269,2025-03-13,DOGE,long,1h,trend pullback,27.83,1.22,-31.63,3.81,loss
270,2025-04-30,DOGE,short,3m,VWAP reclaim,71.51,1.22,-74.61,3.1,loss
271,2025-06-06,WLFI,long,5m,breakout retest,115.04,2.76,311.14,6.29,win
272,2025-03-04,XRP,long,4h,breakout retest,82.6,0.78,60.89,3.93,win
273,2025-01-19,ADA,short,1h,liquidity sweep,56.21,0.77,-58.19,1.98,loss
274,2025-04-24,SOL,long,3m,trend pullback,42.79,1.54,62.6,3.29,win
275,2025-06-10,WLFI,long,3m,trend pullback,115.75,0.89,98.88,4.07,win
276,2025-01-19,XRP,long,15m,liquidity sweep,160.84,0.2,-166.88,6.04,loss
277,2025-01-29,DOGE,short,1h,VWAP reclaim,120.3,0.91,106.89,2.18,win
278,2025-01-23,ADA,long,15m,breakout retest,179.62,0.2,-184.81,5.19,loss
279,2025-04-18,XRP,short,15m,VWAP reclaim,29.06,2.38,62.87,6.39,win
280,2025-03-06,FARTCOIN,short,1h,breakout retest,177.29,1.22,214.53,1.71,win
281,2025-06-01,XRP,long,1h,trend pullback,89.4,0.2,9.9,7.98,win
282,2025-01-11,DOGE,short,3m,trend pullback,116.27,1.55,-122.82,6.56,loss
283,2025-03-03,ETH,long,1h,range rejection,77.71,2.24,-85.04,7.33,loss
284,2025-04-23,BTC,short,1h,range rejection,156.36,2.01,-161.02,4.66,loss
285,2025-05-26,BTC,long,15m,range rejection,48.92,2.24,-52.22,3.3,loss
286,2025-03-06,BTC,short,5m,VWAP reclaim,77.37,1.01,-80.84,3.47,loss
287,2025-03-25,XRP,long,5m,breakout retest,93.31,1.89,-96.15,2.84,loss
288,2025-03-31,FARTCOIN,short,3m,VWAP reclaim,144.95,1.22,172.55,4.5,win
289,2025-03-23,FARTCOIN,long,1h,VWAP reclaim,152.59,2.11,315.9,6.05,win
290,2025-04-08,XRP,long,15m,range rejection,52.34,1.1,-56.74,4.4,loss
291,2025-02-13,FARTCOIN,long,4h,trend pullback,71.64,1.91,131.85,5.07,win
292,2025-04-12,WLFI,long,4h,range rejection,118.96,1.18,139.26,1.65,win
293,2025-03-29,WLFI,long,3m,VWAP reclaim,105.25,1.36,135.87,7.45,win
294,2025-02-27,ETH,short,15m,liquidity sweep,90.81,1.2,104.57,4.84,win
295,2025-02-26,XRP,long,5m,breakout retest,59.26,1.31,71.86,5.54,win
296,2025-03-04,BTC,short,1h,range rejection,174.33,0.94,-178.72,4.38,loss
297,2025-02-17,ADA,short,1h,VWAP reclaim,155.66,2.08,-161.06,5.39,loss
298,2025-04-21,FARTCOIN,short,15m,trend pullback,79.24,1.27,-86.8,7.56,loss
299,2025-02-04,FARTCOIN,long,4h,trend pullback,71.47,0.88,-77.38,5.92,loss
300,2025-05-10,SOL,long,4h,breakout retest,133.34,2.06,-135.07,1.73,loss
301,2025-04-30,FARTCOIN,long,1h,range rejection,63.06,1.09,-67.28,4.22,loss
302,2025-02-13,DOGE,long,15m,range rejection,23.54,1.72,35.03,5.55,win
303,2025-04-01,SOL,long,3m,trend pullback,30.47,0.52,-35.45,4.99,loss
304,2025-02-04,XRP,short,4h,VWAP reclaim,177.79,2.16,380.2,4.16,win
305,2025-05-26,FARTCOIN,long,4h,trend pullback,147.75,0.59,83.09,3.85,win
306,2025-06-06,FARTCOIN,long,3m,trend pullback,28.48,1.75,-33.59,5.11,loss
307,2025-02-11,ETH,short,5m,breakout retest,137.21,1.97,265.47,5.21,win
308,2025-01-31,BTC,short,1h,range rejection,73.09,1.48,104.64,3.82,win
309,2025-02-05,DOGE,short,5m,range rejection,155.56,0.71,107.68,3.18,win
310,2025-01-24,WLFI,short,3m,VWAP reclaim,49.53,0.44,19.0,2.59,win
311,2025-05-15,XRP,long,4h,liquidity sweep,61.24,1.33,-62.67,1.43,loss
312,2025-02-13,FARTCOIN,long,15m,range rejection,20.28,1.97,-21.36,1.09,loss
